$119K-$147K , 3.6
$119K-$147K , 3.2
$119K-$147K , 1.0
$119K-$147K , 5.0
$119K-$147K , 5.0
$119K-$147K , 3.9
$119K-$147K , 4.2
$119K-$147K , 3.7
$119K-$147K , 3.1
$116K-$152K , 3.8
$116K-$152K , 3.9
$116K-$152K , 1.0
$116K-$152K , 4.1
$116K-$152K , 3.8
$116K-$152K , 3.8
$116K-$152K , 3.7
$116K-$152K , 4.4
$116K-$152K , 3.9
$116K-$152K , 5.0
$116K-$152K , 3.9
$116K-$152K , 3.6
$116K-$152K , 4.2
$116K-$152K , 3.9
$116K-$152K , 4.3
$116K-$152K , 3.5
$116K-$152K , 4.0
$116K-$152K , 4.0
$133K-$171K , 3.0
$133K-$171K , 4.0
$133K-$171K , 4.0
$133K-$171K , 3.5
$133K-$171K , 3.5
$133K-$171K , 4.4
$133K-$171K , 4.4
$133K-$171K , 1.0
$133K-$171K , 2.6
$133K-$171K , 3.6
$133K-$171K , 4.1
$133K-$171K , 4.1
$133K-$171K , 1.0
$110K-$139K , 3.3
$110K-$139K , 3.5
$110K-$139K , 1.0
$110K-$139K , 4.1
$110K-$139K , 3.2
$110K-$139K , 4.0
$110K-$139K , 4.0
$110K-$139K , 3.6
$110K-$139K , 3.8
$110K-$139K , 3.9
$110K-$139K , 4.4
$110K-$139K , 3.6
$110K-$139K , 3.9
$110K-$139K , 1.0
$110K-$139K , 4.1
$110K-$139K , 4.1
$110K-$139K , 1.0
$110K-$139K , 4.4
$110K-$139K , 3.7
$110K-$139K , 2.5
$82K-$141K , 4.9
$82K-$141K , 3.6
$82K-$141K , 3.6
$82K-$141K , 3.3
$82K-$141K , 3.6
$82K-$141K , 5.0
$82K-$141K , 3.8
$82K-$141K , 4.8
$82K-$141K , 4.1
$82K-$141K , 4.4
$82K-$141K , 3.3
$82K-$141K , 3.7
$82K-$141K , 4.1
$82K-$141K , 4.5
$82K-$141K , 3.6
$82K-$141K , 3.2
$82K-$141K , 3.2
$82K-$141K , 3.8
$82K-$141K , 4.1
$82K-$141K , 4.8
$82K-$141K , 3.9
$82K-$141K , 3.6
$82K-$141K , 3.9
$82K-$141K , 1.0
$82K-$141K , 4.4
$82K-$141K , 3.9
$96K-$119K , 4.8
$96K-$119K , 3.9
$96K-$119K , 3.6
$96K-$119K , 5.0
