Illinois,$31K-$200K
United Kingdom,$34K-$146K
Texas,$12K-$150K
Ohio,$39K-$146K
New Jersey,$38K-$156K
Florida,$39K-$200K
Pennsylvania,$38K-$146K
New York,$12K-$200K
Arizona,$37K-$113K
Delaware,$55K-$143K
California,$12K-$200K
